"Tipo de Gestion","Modalidad","Número","Año","Objeto","Descripción","Rubros|SubRubros","Moneda del pliego","Monto Original","Organismo Licitante","Organismos Comitentes","Fecha y Hora de Apertura","Lugar de Apertura","Moneda del pliego","Valor del Pliego   ","Expedientes","Enlaces Documentacion","Estado de la Gestion","Fecha de Último Estado"
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICION DE MATERIAL DESCARTABLE PARA 3 MESES Y CON 3 ENTREGAS","LICITACION PUBLICA Nº 01/18","EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",15400000,"HOSPITAL J.B. ITURRASPE","HOSPITAL J.B. ITURRASPE","26-01-2018 10:00 hs.","HOSPITAL J.B. ITURRASPE - BV. PELLEGRINI 3551 1º PISO - OFICINA DE COMPRAS - SANTA FE - 3000","PESOS","$   6.160","000016/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120634&contar=1&solodocs=1","CONCLUIDA","20-03-2018 11:35 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"""ADQUISICIÓN DE MEDICAMENTOS VARIOS I""","""ADQUISICIÓN DE MEDICAMENTOS VARIOS I""","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",4600000,"HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","HOSPITAL DE NIÑOS DR. ORLANDO ALASSIA","22-02-2018 10:00 hs.","OFICINA DE LICITACIONES - HOSPITAL DE NIÑOS DR. O. ALASSIA","PESOS","$  1.850,00 (SON PESOS UN MIL OCHOCIENTOS CINCUENTA CON 00/00)",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120661&contar=1&solodocs=1","CONCLUIDA","16-04-2018 10:28 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICIÓN DE MEDICAMENTOS","MEDICAMENTOS VARIOS","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS",1200000,"HOSPITAL PROVINCIAL DE NIÑOS ZONA NORTE DR. ROBERTO M. CARRA ROSARIO","MINISTERIO DE SALUD (DIR.GRAL.ADM.)","07-02-2018 10:00 hs.","OF. DE COMPRAS","PESOS","480",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120663&contar=1&solodocs=1","CONCLUIDA","26-06-2018 08:17 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUIRIR MATERIALES DESCARTABLES PARA UN PERIODO DE TRES (3) MESES.",,"EQUIP.MEDICO P/HOSPITALES Y CENTROS SANITARIOS/MATERIAL DESCARTABLE","PESOS",6500000,"HOSPITAL PROVINCIAL DE ROSARIO","HOSPITAL PROVINCIAL DE ROSARIO","15-02-2018 10:00 hs.","OFICINA DE COMPRAS DEL HOSPITAL PROVINCIAL DE ROSARIO","PESOS","$  2.600.- (PESOS DOS MIL SEISCIENTOS)","228/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120682&contar=1&solodocs=1","CONCLUIDA","16-07-2018 11:04 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018," SOLICITUD DE MATERIAL DE OSTEOSINTESIS Y ORTOPEDIA Y TRAUMATOLOGIA","LICITACION PUBLICA PARA LA  SOLICITUD DE MATERIAL DE OSTEOSINTESIS Y ORTOPEDIA Y TRAUMATOLOGIA","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PRODUCTOS MEDICINALES PARA USO HUMANO","PESOS","11175771,6","HOSPITAL ESCUELA EVA PERÓN","HOSPITAL ESCUELA EVA PERÓN","20-02-2018 10:00 hs.","HOSPITAL ESCUELA EVA PERON - AV, SAN MARTIN 1645 -2152 GRANADERO BAIGORRIA -  OFICINA DE COMPRAS","PESOS","$  4470,31 - PESOS: CUATRO MIL CUATROCIENTOS SETENTA C/31/00","24510","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120683&contar=1&solodocs=1","CONCLUIDA","10-05-2018 09:57 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICIÓN DE MEDICAMENTOS ONCOLOGICOS","ADQUISICIÓN DE MEDICAMENTOS ONCOLOGICOS CON DESTINO AL BANCO DE DROGAS ONCOLOGICAS.","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES","PESOS","12468014,2","MINISTERIO DE SALUD (DIR.GRAL.ADM.)","MINISTERIO DE SALUD - D.P. RED DE MEDICAMENTOS Y TECN. FARMACÉUTICA","21-02-2018 10:00 hs.","MINISTERIO DE SALUD – DPTO DE COMPRAS JUNA DE GARAY 2880 – 3000 STA FE. TEL.: (0342) 4572360/61- – INTERNOS 3121 - 3122 CORREO ELECTRÓNICO: COMPRASALUDSTAFE@SANTAFE.GOV.AR SITIO WEB: WWW.SANTAFE.GOV.AR","PESOS","$   5.000,00","00501-0159292-0","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120694&contar=1&solodocs=1","CONCLUIDA","18-06-2018 09:55 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"CONTRATACION DE UN SERVICIO DE AMPLIACION Y REACONDICIONAMIENTO EDILICIO DEL SAMCO DE COLONIA MASCIAS."," AMPLIACION Y REACONDICIONAMIENTO EDILICIO DEL SAMCO DE COLONIA MASCIAS","CONSTRUCCIONES/OBRAS","PESOS","3081693,1","HOSPITAL HELVECIA","HOSPITAL HELVECIA","26-02-2018 10:30 hs.","HOSPITAL HELVECIA, VELEZ SARFIELD 830, HELVECIA, CP:3003","PESOS","$    1237,70 DEBERA HACERSE EFECTIVO MEDIANTE DEPOSITO EN CTA. CTE. NRO 522-766/10 (CBU 3300522315220000766108) DEL NVO BCO DE SANTA FE S.A.","00501-0157263-8","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120700&contar=1&solodocs=1","EN TRAMITE","26-02-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"CONTRATACIÓN DE UN SERVICIO DE VIGILANCIA PARA LAS DEPENDENCIAS DE LA REGIONAL ROSARIO DE A.P.I. SITAS EN TUCUMÁN 1853 DE DICHA CIUDAD.","CONTRATACIÓN POR 12 (DOCE) MESES DE UN SERVICIO DE VIGILANCIA EN DEPENDENCIAS DE LA REGIONAL ROSARIO A.P.I., CON VIGILANCIA PERSONAL Y MEDIANTE EQUIPOS DE VIDEOCÁMARAS DE PROPIEDAD DEL OFERENTE.","OTROS SERVICIOS/VIGILANCIA","PESOS",1002000,"ADMINISTRACIÓN PROVINCIAL DE IMPUESTOS (D.G.A)","ADMINISTRACIÓN PROVINCIAL DE IMPUESTOS (D.G.A)","22-02-2018 12:00 hs.","DEPARTAMENTO DE COMPRAS Y SUMINISTROS DE A.P.I., SITO EN AV. PTE. ARTURO ILLIA 1151, PLANTA BAJA, ALA SUR, OFICINA 04, CENTRO CÍVICO GUBERNAMENTAL - SANTA FE","PESOS","$    400,80 (PESOS CUATROSCIENTOS CON OCHENTA CENTAVOS)","13301-0281318-9","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120717&contar=1&solodocs=1","CONCLUIDA","11-09-2018 07:51 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"“CONSTRUCCIÓN AULAS EN ESCUELAS – 3RA ETAPA”","EL TRABAJO CONSISTE EN LA EJECUCIÓN DE UNA O DOS AULAS SEGÚN SE INDIQUE EN PLANOS ANEXAS AL EDIFICIO EXISTENTE QUE MANTENGA Y RESPETE SUS CARACTERÍSTICAS COMPONIÉNDOSE COMO UNA EXTENSIÓN DEL MISMO, DEBIENDO SUMAR A SU CONSTRUCCIÓN LAS CONDICIONES DE MEJORAS IMPUESTAS POR PROYECTO. NO DEBERÁ INTERRUMPIR LA VISIÓN TOTAL DE LA ESCUELA COMO UN CONJUNTO Y ACONDICIONARÁ LAS SOLUCIONES A LOS DISTINTOS PROBLEMAS QUE SURGIERAN DE ACUERDO A ESTE CRITERIO.   DE RESOLUCIÓN TÉCNICA SENCILLA, LA NUEVA CONSTRUCCIÓN DEBERÁ REDUCIR SU IMPACTO EN EL FUNCIONAMIENTO DEL EDIFICIO DURANTE SU EJECUCIÓN EN EL MENOR GRADO POSIBLE. LA LIMPIEZA Y EL ORDEN DE LA OBRA SON CONDICIONES ESTRICTAMENTE NECESARIAS.   LOS CAMBIOS DE RESOLUCIÓN TECNOLÓGICA QUE EL AULA NUEVA INCORPORA RESPECTO AL EDIFICIO EXISTENTE RESPONDEN A MEJORAS CONSTRUCTIVAS Y DE MANTENIMIENTO SENSIBLES. LOS CAMBIOS TECNOLÓGICOS EN FUNDACIONES, CERRAMIENTOS LATERALES O CUBIERTAS ESTÁN CONSIDERADOS PARA ALTERAR LO MENOS POSIBLE LA PREEXISTENCIA Y COMPORTARSE DE MANERA INDEPENDIENTE. PARA CADA INTERVENCIÓN QUE COMPROMETA ESTRUCTURA EXISTENTE NO DEBE COMPROMETER LA CAPACIDAD PORTANTE PREVIÉNDOSE LA EXIGENCIA DE LA VERIFICACIÓN ESTRUCTURAL Y EVENTUAL CONSTRUCCIÓN DE LOS REFUERZOS NECESARIOS.    PARA LAS INSTALACIONES SANITARIAS, EL PROYECTO PREVEE LA EVENTUAL INCORPORACIÓN A SISTEMAS EXISTENTES, DE TAL MANERA DEBERÁ RELEVARSE SU CORRECTO FUNCIONAMIENTO. DE EXISTIR INCONVENIENTES SE PROYECTARÁ Y EJECUTARÁ DE FORMA INDEPENDIENTE CONFORME APROBACIÓN DE LA INSPECCIÓN. EN EL CASO DEL GAS, SE PREVEEN CONDICIONES PREEXISTENTES NECESARIAS Y QUEDARÁ A CRITERIO DE LA INSPECCIÓN Y DE LOS RESPONSABLES DEL INMUEBLE LOS CRITERIOS DE POSIBLE EXTENSIÓN. SU REEMPLAZO O ACONDICIONAMIENTO DEBERÁ CONSTATARSE EN OBRA Y CON EL ENTE REGULADOR PERTINENTE. ","CONSTRUCCIONES/CONSTRUCCIONES CIVILES|  CONSTRUCCIONES/OBRAS","PESOS",1,"MINISTERIO DE ECONOMÍA - PROGRAMA MUNICIPAL DE INVERSIONES - PROMUDI","MINISTERIO DE ECONOMÍA - PROGRAMA MUNICIPAL DE INVERSIONES - PROMUDI","20-03-2018 11:00 hs.","MINISTERIO DE EDUCACIÓN - AV. PRES. ILLIA Nº1101, SANTA FE - 5TO PISO - SALA BELGRANO","PESOS","EN VIRTUD DE LOS ALCANCES DEL ARTICULO 4° DEL DECRETO 2260/16, LOS PLIEGOS SON GRATUITOS Y SE PUBLICARÁN EN EL SITIO WEB OFICIAL DE LA PROVINCIA DE SANTA FE, SUBPORTAL “COMPRAS”",,"https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120740&contar=1&solodocs=1","CONCLUIDA","10-05-2018 11:36 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"EJECUCION DE OBRA REACONDICIONAMIENTO EDILICIO","VISITA DE OBRA OBLIGATORIA:23/03/18   10HS","EDIFICIOS E INSTALACIONES/EDIFICIOS E INSTALACIONES","PESOS","2255295,8","HOSPITAL SAMCO DE VILLA ANA","HOSPITAL SAMCO DE VILLA ANA","03-04-2018 10:00 hs.","COMUNA DE VILLA ANA","PESOS","902.11","00501-0158238-1","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120803&contar=1&solodocs=1","EN TRAMITE","03-04-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018,"ADQUISICIÓN DE MEDICAMENTOS","ADQUISICIÓN DE MEDICAMENTOS- POR EL PERIODO DE 3 (TRES) MESES","PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES/PROD.MEDICINALES-PROD.QUIM.-INSUMOS P/ENV.MEDICINALES","PESOS","2173316,9","HOSPITAL CENTRAL RECONQUISTA OLGA STUKY DE RIZZI","HOSPITAL CENTRAL RECONQUISTA OLGA STUKY DE RIZZI","05-04-2018 09:00 hs.","OFICINA DE COMPRAS - HOSPITAL CENTRAL RECONQUISTA- HIPÓLITO YRIGOYEN Nº 1580- RECONQUISTA 3560","PESOS","870,00","Co 132/18","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120834&contar=1&solodocs=1","EN TRAMITE","05-04-2018 23:20 hs."
"LICITACIÓN PÚBLICA","Sin Modalidad","1",2018," ADQUISICIÓN DE 2000 RESMAS DE PAPEL CON DESTINO A LA CÁMARA DE SENADORES",,"LIBRERIA/ARTICULOS DE LIBRERIA","PESOS",250000,"CÁMARA DE SENADORES","CÁMARA DE SENADORES","08-05-2018 10:00 hs.","DIRECCIÓN GENERAL DE ADMINISTRACIÓN DE LA CÁMARA DE SENADORES: GRAL. LÓPEZ 3055- PRIMER PISO DE LA CIUDAD DE SANTA FE","PESOS","$  100.-","37080","https://www.santafe.gov.ar/gestionesdecompras/site/gestion.php?idGestion=120930&contar=1&solodocs=1","CONCLUIDA","12-06-2018 12:43 hs."
