Marca temporal;Género;Indicá cuál;Edad;Ocupación principal;Indicá cuál;En el último año, tu nivel de uso:;¿Cómo evalúas el estado y mantenimiento de las bicicletas simples? ;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es regular;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es malo;Indicá las razones por las que considerás que el estado y mantenimiento de las bicicletas es muy malo;¿Cómo evalúas la comodidad de las bicicletas simples? ;Indicá las razones por las que considerás que la comodidad de las bicicletas es regular;Indicá las razones por las que considerás que la comodidad de las bicicletas es mala;Indicá las razones por las que considerás que la comodidad de las bicicletas es muy mala;¿Cómo evalúas el funcionamiento general de las estaciones?;Indicá las razones por las que considerás que el funcionamiento de las estaciones es regular;Indicá las razones por las que considerás que el funcionamiento de las estaciones es malo;Indicá las razones por las que considerás que el funcionamiento de las estaciones es muy malo;¿Cómo evalúas las instrucciones para el uso del sistema disponibles en cada estación?;¿En general, cómo evalúas los canales de comunicación disponibles para los usuarios del Sistema de Bicis? ;¿Has utilizado la APP (aplicación gratuita) de Mi Bici Tu Bici? ;La aplicación te ha resultado:;¿Consultas la página web de Mi Bici Tu Bici a la hora de utilizar el sistema?;De bicicletas al momento de su uso;De lugar al momento de devolver la bicicleta ;¿Qué factores te motivan a usar el Sistema de Bicis?;¿Cuál es la actividad principal que motiva tus viajes en el sistema? ;¿Cuál era el principal modo de transporte que utilizabas antes para realizar los viajes que hacés ahora en bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;En una escala de 0 a 10 ¿Cómo valorás el grado de utilidad que tiene para vos el servicio de bicicletas públicas?;En una escala de 0 a 10 ¿Cuál es tu nivel de satisfacción general en relación al servicio?;¿Cuál es la razón principal por la que disminuiste la frecuencia de uso de las bicis públicas o dejaste de usarlas? ;Elija la razón principal a la que atribuye las deficiencias del sistema;¿En qué modo de transporte realizás ahora los viajes que antes hacías con la bicicleta pública? ;¿Has utilizado las bicis dobles (tándem)? ;¿Conocés el sistema de franquicias disponible para trabajadores y estudiantes? ;¿Te gustaría volver a utilizar el sistema con la frecuencia que lo hacías antes?
8/7/2018 10:27:23;Femenino;;33;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente;Ir/ volver de mi lugar de estudio;Colectivo;No;No;9;9;;;;;;
8/7/2018 10:27:33;Masculino;;38;Desocupado;;Ha aumentado;Muy bueno;;;;Buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;Actividades sociales;A pie;Sí;Sí;8;8;;;;;;
8/7/2018 10:27:34;Masculino;;28;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Regulares;Buenos;No;;No;Suficiente;Suficiente;Ahorro de tiempo, Protección del ambiente, Comodidad;Ir/volver al trabajo;Colectivo;No;No;8;8;;;;;;
8/7/2018 10:27:35;Femenino;;28;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Otro;La uso para todas mis actividades;A pie;No;No;10;9;;;;;;
8/7/2018 10:27:46;Femenino;;30;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Malo;;Otro;;Regular;Otro;;;Regular;Otro;;;Buenas;Muy malos;Sí;Nada útil;No;Suficiente;Suficiente;Ahorro de dinero;Ir/volver al trabajo;Bici propia;No;No;0;0;;;;;;
8/7/2018 10:27:48;Femenino;;19;Estudiante;;Ha sido constante;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Regulares;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;La uso para todas mis actividades;Ninguno en particular (usaba distintos modos);Sí;No;8;8;;;;;;
8/7/2018 10:27:55;Masculino;;46;Trabajador en relación de dependencia;;Ha sido constante;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Comodidad;Uso recreativo/ deportivo (sin destino específico);Bici propia;Sí;No;9;10;;;;;;
8/7/2018 10:28:10;Femenino;;24;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Buena;;;;Muy bueno;;;;Buenas;Buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;Uso recreativo/ deportivo (sin destino específico);A pie;Sí;Sí;8;8;;;;;;
8/7/2018 10:28:10;Femenino;;44;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;No;;No;Suficiente;Suficiente;Ahorro de dinero;Ir/volver al trabajo;Auto como conductor;No;No;6;6;;;;;;
8/7/2018 10:28:14;Masculino;;32;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;No;;No;Suficiente;Suficiente;Cuido mi salud, Protección del ambiente;Actividades sociales;A pie;No;Sí;10;8;;;;;;
8/7/2018 10:28:25;Masculino;;27;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Muy bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de dinero, Protección del ambiente, Comodidad;La uso para todas mis actividades;Colectivo;Sí;No;10;8;;;;;;
8/7/2018 10:28:32;Masculino;;25;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Condiciones climáticas;;Colectivo;Sí;No;Sí
8/7/2018 10:28:35;Femenino;;43;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Regular;Estaciones frecuentemente fuera de servicio, Problemas para liberar la bici, Problemas al anclar la bici, Anclajes rotos;;;Buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Insuficiente;Ahorro de dinero, Cuido mi salud, Comodidad;La uso para todas mis actividades;Colectivo;No;No;10;7;;;;;;
9/1/2018 16:41:09;Masculino;;43;Desocupado;;Me inscribí recientemente (en los últimos 6 meses);Regular;Problemas para regular el asiento;;;Buena;;;;Bueno;;;;Regulares;Regulares;Sí;Algo útil;No;Suficiente;Insuficiente;Cuido mi salud, Protección del ambiente, Comodidad;Ir/ volver de mi lugar de estudio;Auto como conductor;Sí;No;7;7;;;;;;
8/7/2018 10:28:40;Masculino;;19;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Regular;Neumáticos desinflados, Hace ruido al andar;;;Muy buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Insuficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Protección del ambiente;Ir de compras/ gastronomía;Colectivo;No;No;7;7;;;;;;
8/7/2018 10:28:43;Femenino;;24;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Regular;Tipo de asiento;;;Regular;Problemas al leer la tarjeta;;;Buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Cuido mi salud;Actividades sociales;Colectivo;No;No;7;7;;;;;;
8/7/2018 10:28:51;Masculino;;33;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Comodidad;La uso para todas mis actividades;Auto como conductor;No;No;8;7;;;;;;
8/7/2018 10:29:04;Femenino;;46;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Mal estado de las bicicletas;A pie;No;Sí;Sí
8/7/2018 10:29:27;Masculino;;44;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Regular;Neumáticos desinflados, Problemas para regular el asiento, Otro;;;Regular;Otro;;;Bueno;;;;Buenas;Regulares;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Cuido mi salud, Protección del ambiente, Comodidad;Ir/volver al trabajo;Bici propia;No;No;8;6;;;;;;
8/7/2018 10:29:30;Masculino;;33;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;Sí;No sabe/No contesta;Suficiente;Ahorro de dinero, Cuido mi salud;Actividades sociales;Ninguno en particular (usaba distintos modos);No;Sí;7;8;;;;;;
8/7/2018 10:29:45;Femenino;;40;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Algo útil;Sí;Suficiente;Suficiente;Comodidad;Otro;A pie;Sí;No;10;8;;;;;;
8/7/2018 10:29:47;Femenino;;28;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, en relación a las condiciones del tránsito en la ciudad;;A pie;No;No;Sí
8/7/2018 10:30:00;Masculino;;43;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;No;Suficiente;Suficiente;Comodidad;La uso para todas mis actividades;Bici propia;No;No;10;9;;;;;;
8/7/2018 10:30:02;Masculino;;29;Otro;Transportista especial;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;Sí;No;Sí
8/7/2018 10:30:18;Masculino;;27;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Muy bueno;;;;Muy buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;La uso para todas mis actividades;Colectivo;Sí;No;9;9;;;;;;
8/7/2018 10:30:37;Masculino;;36;Trabajador en relación de dependencia;;Ha sido constante;Bueno;;;;Muy buena;;;;Bueno;;;;Muy buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero;Ir/volver al trabajo;Colectivo;No;Sí;5;9;;;;;;
8/7/2018 10:30:37;Femenino;;23;Estudiante;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Deficiencias del sistema;Estaciones frecuentemente fuera de servicio;Colectivo;Sí;Sí;Sí
8/7/2018 10:30:37;Femenino;;31;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;No me siento seguro andando en bici, ya que temo sufrir un robo;;Colectivo;Sí;Sí;Sí
8/7/2018 10:30:39;Masculino;;33;Trabajador independiente;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Ninguno en particular (uso distintos modos);Sí;Sí;No sabe/ No contesta
8/7/2018 10:30:41;Masculino;;22;Estudiante;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Suficiente;Cuido mi salud;Ir/ volver de mi lugar de estudio;Colectivo;No;No;7;8;;;;;;
8/7/2018 10:30:49;Femenino;;37;Trabajador en relación de dependencia;;Ha aumentado;Bueno;;;;Buena;;;;Bueno;;;;Buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero, Cuido mi salud, Protección del ambiente, Comodidad;La uso para todas mis actividades;Colectivo;Sí;No;8;9;;;;;;
8/7/2018 10:30:50;Femenino;;37;Trabajador en relación de dependencia;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Colectivo;No;No;Sí
8/7/2018 10:30:52;Masculino;;42;Trabajador independiente;;Ha sido constante;Regular;Neumáticos desinflados, Problemas para regular el asiento;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Algo útil;No;Suficiente;Suficiente;Ahorro de tiempo, Ahorro de dinero;Ir/volver al trabajo;Auto como conductor;Sí;No;7;6;;;;;;
8/7/2018 10:30:54;Femenino;;27;Trabajador en relación de dependencia;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de dinero;Ir a lugar de esparcimiento;A pie;No;No;8;8;;;;;;
8/7/2018 10:30:55;Masculino;;51;Trabajador independiente;;Me inscribí recientemente (en los últimos 6 meses);Bueno;;;;Buena;;;;Bueno;;;;Buenas;Buenos;Sí;Muy útil;No;Suficiente;Insuficiente;Cuido mi salud, Comodidad;Uso recreativo/ deportivo (sin destino específico);A pie;Sí;No;8;8;;;;;;
8/7/2018 10:30:56;Masculino;;37;Trabajador independiente;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Costo elevado;;Ninguno en particular (uso distintos modos);No;No;Sí
8/7/2018 10:31:03;Masculino;;28;Trabajador en relación de dependencia;;Ha aumentado;Muy bueno;;;;Muy buena;;;;Muy bueno;;;;Muy buenas;Muy buenos;Sí;Muy útil;Sí;Suficiente;Suficiente;Ahorro de tiempo, Comodidad;Actividades sociales;A pie;Sí;Sí;10;10;;;;;;
8/7/2018 10:31:08;Masculino;;54;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Otros motivos;;Auto como conductor;Sí;Sí;Sí
8/7/2018 10:31:20;Femenino;;24;Estudiante;;He dejado de usarlo;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Colectivo;No;No;Sí
8/7/2018 10:31:25;Femenino;;27;Trabajador en relación de dependencia;;Ha disminuido;;;;;;;;;;;;;;;;;;;;;;;;;;;Ninguna estación me queda cerca de mis actividades;;Auto como conductor;No;No;Sí
